a52dec 0.8.0-2
haskell-type-equality 1.0.1-2
haskell-typed-process 0.2.13.0-117
haskell-typst 0.5.0.5-2
haskell-typst-symbols 0.1.6-1
haskell-unicode-collation 0.1.3.6-104
haskell-unicode-data 0.6.0-18
haskell-unicode-transforms 0.4.0.1-161
haskell-uniplate 1.6.13-319
haskell-unix-compat 0.7.4.1-30
haskell-unix-time 0.4.17-53
haskell-unliftio 0.2.25.1-73
haskell-unliftio-core 0.2.1.0-3
haskell-unordered-containers 0.2.20-188
haskell-utf8-string 1.0.2-239
haskell-uuid-types 1.0.6-171
haskell-vault 0.3.1.5-281
haskell-vector 0.13.2.0-252
haskell-vector-algorithms 0.9.1.0-100
haskell-vector-stream 0.1.0.1-3
haskell-wai 3.2.4-131
haskell-wai-app-static 3.1.9-202
haskell-wai-cors 0.2.7-467
haskell-wai-extra 3.1.18-10
haskell-wai-logger 2.5.0-119
haskell-warp 3.3.31-6
haskell-witherable 0.4.2-214
haskell-word8 0.1.3-24
haskell-xml 1.3.14-32
haskell-xml-conduit 1.9.1.4-126
haskell-xml-types 0.3.8-10
haskell-yaml 0.11.11.2-182
haskell-zip-archive 0.4.3.2-89
haskell-zlib 0.7.0.0-51
haveged 1.9.19-1
hdf5 1.14.6-5
hdparm 9.65-3
helix 25.07.1-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highlight-pointer 1.2-1
highlight-pointer-debug 1.2-1
highway 1.3.0-1
hplip 1:3.25.6-1
hslua-cli 1.4.3-65
hstr 3.1-1
htop 3.4.1-1
http-parser 2.9.4-2
httpie 3.2.4-1
hub 2.14.2-4
hunspell 1.7.2-2
hunspell-en_us 2020.12.07-5
hunspell-pt-br 3.2.15-1
hurl-bin 4.2.0-1
hurl-bin-debug 4.2.0-1
hwdata 0.399-1
hwdetect 2025.08.16.1333-1
hwinfo 25.0-2
hwloc 2.12.2-1
hyphen 2.8.8-6
i2c-tools 4.4-2
i3-layouts 0.13.2-3
i3-wm 4.24-1
i3blocks 1.5-4
i3lock 2.15-3
i3status 2.15-1
i3status-rust 0.34.0-2
iana-etc 20250612-1
ibus 1.5.32-1
icoutils 0.32.3-3
icu 76.1-1
id3lib 3.8.3-19
ijs 0.35-6
imagemagick 7.1.2.3-2
imath 3.2.1-1
imgcat 1.2.0-2
imlib2 1.12.5-1
impressive 0.13.2-1
incidenceeditor 25.08.1-1
inetutils 2.6-1
iniparser 4.2.6-2
inkscape 1.4.2-8
input-remapper-git 2.0.1.r34.gd902622b-1
intel-compute-runtime 25.35.35096.9-1
intel-gmmlib 22.8.1-1
intel-gpu-tools 2.1-1
intel-graphics-compiler 1:2.18.5-1
intel-media-driver 25.2.6-1
intel-ucode 20250812-1
intltool 0.51.0-6
inxi 3.3.39.1-1
iproute2 6.16.0-2
iptables 1:1.8.11-2
iputils 20250605-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
ipython 9.5.0-1
iso-codes 4.18.0-1
itinerary 25.08.1-1
itstool 1:2.0.7-3
iw 6.17-1
iwd 3.9-1
jack2 1.9.22-1
jansson 2.14.1-1
jasper 4.2.8-1
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jemalloc 1:5.3.0-5
jfsutils 1.1.15-9
jless 0.9.0-2
jq 1.8.1-1
jre-openjdk 25.u36-1
jre11-openjdk 11.0.27.u6-3
js78 78.15.0-4
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
juk 25.08.1-1
jxrlib 0.2.4-2
k3b 1:25.08.1-1
k9s 0.50.11-1
kaccounts-integration 25.08.1-1
kaccounts-providers 25.08.1-1
kactivities-stats5 5.116.0-1
kactivities5 5.116.0-1
kactivitymanagerd 6.4.5-1
kaddressbook 25.08.1-1
kajongg 25.08.1-1
kakoune 2025.06.03-3
kalarm 25.08.1-1
kalgebra 25.08.1-1
kalk 25.08.1-1
kalzium 25.08.1-1
kamera 25.08.1-1
kamoso 25.08.1-1
kanagram 25.08.1-1
kapman 25.08.1-1
kapptemplate 25.08.1-1
karchive 6.18.0-1
